"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"221d03c2-0a3c-468e-bbad-1b458f37fc30","Domar a la divina garza - Sergio Pitol.txt","Marietta Karapetiz","char-offset:251","PERSON","","","","","","","","#creación literaria|#narrativa|#novela|#personajes","Antagonista de DDG|Personaje de la novela escrita por el viejo novelista que se llamará ""Domar a la divina garza""

","",""
"8e0d5f63-e152-4373-ba8d-ccf2c0e03597","Domar a la divina garza - Sergio Pitol.txt","Dante C. de la Estrella","char-offset:294","PERSON","","","","","","","","#creación literaria|#narrativa|#novela|#personajes","Protagonista de DDG|Personaje de la novela escrita por el viejo novelista que se llamará ""Domar a la divina garza""","",""
"6a9cf0fe-1315-489e-91c5-8f91284f453c","Domar a la divina garza - Sergio Pitol.txt","personajes","char-offset:443","","","","","","","","","#narrativa|#creación literaria|#personajes","Campo semántico: creación literaria","",""
"f93a0575-cf04-4be9-a21a-05959ff114bf","Domar a la divina garza - Sergio Pitol.txt","Estambul","char-offset:1057","PLACE","http://sws.geonames.org/745044","İstanbul","","41.01384","28.94966","","UNVERIFIED","","","",""
"3b797fcd-1422-47d2-8824-6827f72fa3c1","Domar a la divina garza - Sergio Pitol.txt","Gogol","char-offset:1278","PERSON","","","","","","","","#creación literaria|#narrativa|#carnaval|#intertexto","Escrior Ruso del Siglo XIX|Nicolás Gógol; Soróchintsy, Gobernación de Poltava, 1 de abril de 1809- Moscú; 4 de marzo de 1852) fue un escritor ruso​ de origen ucraniano. Cultivó varios géneros, pero fue notablemente conocido como dramaturgo, novelista y escritor de cuentos cortos. Su obra más conocida es, probablemente, Almas muertas, considerada por muchos como la primera novela moderna en lengua rusa.","",""
"6d2caf9a-8ab0-4456-a14b-c9a5da09ac30","Domar a la divina garza - Sergio Pitol.txt","rabelesiana","char-offset:1311","","","","","","","","","#intertexto|#carnaval|#humor","Hace alusión a François Rabelais (Chinon c. 1483 o 1494 según las fuentes-París, 1553) fue un escritor, pedagogo, médico y humanista francés. ","",""
"4d01be72-2489-423c-b25f-48ccb34c786c","Domar a la divina garza - Sergio Pitol.txt","Domar a la divina garza","char-offset:1658","EVENT","","","","","","","","#creación literaria|#puesta en abismo|#narrativa","Obra que escribe el viejo novelista y que estamos leyendo","",""
"8c85aaf4-555b-4e85-a3ee-d2fbdf85b12f","Domar a la divina garza - Sergio Pitol.txt","viejo novelista","char-offset:1936","PERSON","","","","","","","","#narrativa|#creación literaria|#edad","Personaje (marco de la narración)","",""
"765149e1-e6e0-4892-a6fd-27f39bdcacf5","Domar a la divina garza - Sergio Pitol.txt","muestra su laboratorio y reflexiona sobre los materiales","char-offset:1990","","","","","","","","","#creación literaria|#narrativa|#novela|#puesta en abismo","Puesta en abismo. Creación literaria. Proceso creativo","",""
"d4556dd0-d78d-4f9c-a1aa-70461de105fd","Domar a la divina garza - Sergio Pitol.txt","viejo escritor","char-offset:2102","PERSON","","","","","","","","#narrativa|#creación literaria|#edad|#novelista","Novelista","",""
"cc1754a7-9809-4178-a2ca-2a7b5ad41fba","Domar a la divina garza - Sergio Pitol.txt","novela novela","char-offset:2142","","","","","","","","","#narrativa|#creación literaria|#novela","Campo semántico: producción narrativa","",""
"69907a53-d376-4e43-ac88-4eb316084437","Domar a la divina garza - Sergio Pitol.txt","dos o tres capítulos","char-offset:2229","","","","","","","","","#narrativa|#creación literaria","Campo semántico novela","",""
"c6d975a7-d91a-45ff-ad89-07ab572e2e51","Domar a la divina garza - Sergio Pitol.txt","Carlos Montiel","char-offset:2435","PERSON","","","","","","","","#narrativa|#personajes|#critica literaria","Es una referencia a Carlos Monsivais, escritor, periodista y crítico literario mejicano, contemporáneo y amigo de Sergio Pitol","",""
"51af96b7-ee59-41d1-8b2f-b89f761f60f5","Domar a la divina garza - Sergio Pitol.txt","primeros cuentos","char-offset:2545","","","","","","","","","#narrativa|#cuento","Campo semántico: creación narrativa","",""
"75c1ace7-0973-4a25-b63b-87dab9ab9e4c","Domar a la divina garza - Sergio Pitol.txt","personajes","char-offset:2588","","","","","","","","","#narrativa|#creación literaria|#personajes","Campo semántico: creación literaria","",""
"7d58465a-704f-4d1a-8790-df275356c96f","Domar a la divina garza - Sergio Pitol.txt","Facultad","char-offset:2649","PLACE","http://sws.geonames.org/3530597","Mexico City","","19.42847","-99.12766","","VERIFIED","#creación literaria|#narrativa|#personajes","Se refiere a la UNAM, ubicada en la Ciudad de México, donde se conocieron durante su formación universitaria","",""
"b48853cb-6f2a-4e05-be8d-e11d055198fa","Domar a la divina garza - Sergio Pitol.txt","jamesiano","char-offset:2796","PERSON","","","","","","","","#creación literaria|#narrativa|#personajes","En alusión a la teoría de James y Lange referida a la emoción.","",""
"dea28d0e-1d07-4005-b03f-9ee8a27071f6","Domar a la divina garza - Sergio Pitol.txt","atmósfera","char-offset:3057","","","","","","","","","#narrativa|#creación literaria|#novela","Campo semántico: creación literaria","",""
"e7561384-62c3-49a1-963d-2e6ae9554ad5","Domar a la divina garza - Sergio Pitol.txt","Montiel","char-offset:3252","PERSON","","","","","","","","#narrativa|#creación literaria|#personajes","Carlos Montiel|Nueva referencia a Carlos Monsivais, escritor, periodista y crítico literario mejicano, contemporáneo y amigo de Sergio Pitol","",""
"1e08cdb0-60b8-41a3-b24a-9738d54340d8","Domar a la divina garza - Sergio Pitol.txt","todo lo escrito","char-offset:3316","","","","","","","","","#narrativa|#creación literaria","Campo semántico: creación literaria","",""
"857326be-dd9d-4ef0-9b4c-023027b53d1d","Domar a la divina garza - Sergio Pitol.txt","literatura","char-offset:3394","","","","","","","","","#creación literaria|#narrativa","Creación literaria","",""
"c3abc497-3a70-486a-aa17-cfbef82a6b1e","Domar a la divina garza - Sergio Pitol.txt","sesenta y cinco años","char-offset:3516","PERSON","","","","","","","","#creación literaria|#narrativa|#edad","Personaje novelista|Referencia al personaje novelista.","",""
"a6a86433-5d27-4ca1-b18f-f21af4bfde2b","Domar a la divina garza - Sergio Pitol.txt","una edad","char-offset:3878","PERSON","","","","","","","","#narrativa|#creación literaria|#edad","Personaje protagonista","",""
"ffcb6c02-1b90-4c06-b545-f684bad1c46e","Domar a la divina garza - Sergio Pitol.txt","la obra","char-offset:4385","","","","","","","","","#puesta en abismo|#creación literaria|#narrativa|#intertexto","Proceso creativo","",""
"44c46f1d-f436-4e69-85d0-7a01a5c40dcd","Domar a la divina garza - Sergio Pitol.txt","a lo largo de los años","char-offset:4473","PERSON","","","","","","","","#personajes|#edad|#novelista","Personaje edad","",""
"7d786faf-f926-4ffc-b735-35ddb67ae10a","Domar a la divina garza - Sergio Pitol.txt","libro","char-offset:4552","","","","","","","","","#creación literaria|#narrativa|#puesta en abismo","Proceso creativo","",""
"a939b691-8660-4f65-9cf9-b132dc2d246d","Domar a la divina garza - Sergio Pitol.txt","El fin","char-offset:4827","PERSON","","","","","","","","#creación literaria|#edad|#personajes|#novelista","Personaje novelista. Se refiere al fin de sus días, su edad","",""
"6e8be2ff-1733-4b40-a8f0-c2dab2b68d50","Domar a la divina garza - Sergio Pitol.txt","libro","char-offset:4854","","","","","","","","","#creación literaria|#narrativa|#puesta en abismo","Proceso creativo","",""
"f0b63cd3-c3eb-46bc-9f03-365b418e989d","Domar a la divina garza - Sergio Pitol.txt","una novela","char-offset:5104","","","","","","","","","#creación literaria|#narrativa|#novela|#puesta en abismo","Proceso creativo","",""
"354dc1a9-8c09-4ac5-bbee-bd8790f6e8a7","Domar a la divina garza - Sergio Pitol.txt","Sus héroes","char-offset:5158","","","","","","","","","#narrativa|#creación literaria|#personajes|#puesta en abismo","Narrativa. Creación literaria. Personajes.","",""
"499205d4-8b3a-4633-af88-972afb8dd254","Domar a la divina garza - Sergio Pitol.txt","Morelos","char-offset:5421","PLACE","http://sws.geonames.org/3995398","Morelos","","22.86215","-102.61061","","VERIFIED","#creación literaria|#escenario|#personajes","","",""
"42d3b233-e1d2-4ac0-a2f4-9ca41805fb1f","Domar a la divina garza - Sergio Pitol.txt","veracruzana","char-offset:5453","PLACE","http://sws.geonames.org/8859789","Veracruz","","16.40417","-91.99944","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"069ca04e-0739-4020-a709-81e00baad24f","Domar a la divina garza - Sergio Pitol.txt","personajes","char-offset:5975","","","","","","","","","#narrativa|#creación literaria|#personajes|#puesta en abismo","Campo semántico: creación literaria","",""
"2c053adf-b1c5-4ffc-b93c-0b9e1cb7b568","Domar a la divina garza - Sergio Pitol.txt","Lord Jim","char-offset:6010","PERSON","","","","","","","","#narrativa|#personajes|#novela|#intertexto","Personaje de la novela homónima de Joseph Conrad
https://es.wikipedia.org/wiki/Lord_Jim_(novela)","",""
"faba14d5-ec85-4094-8c0f-fdc2411d4191","Domar a la divina garza - Sergio Pitol.txt","Aliocha Karamazov","char-offset:6020","PERSON","","","","","","","","","Personaje de la novela ""Los hermanos Karamazov"" ","",""
"8fb87d6a-b8e4-4d8e-92da-26e07aed8f96","Domar a la divina garza - Sergio Pitol.txt","Aliocha Karamazov","char-offset:6020","PERSON","","","","","","","","#narrativa|#personajes|#novela|#intertexto","Personaje literario de la novela ""Los hermanos Karamazov"" 
https://es.wikipedia.org/wiki/Los_hermanos_Karamazov","",""
"cfc1ffdc-af93-4fb3-8bfb-ec3dbfb06566","Domar a la divina garza - Sergio Pitol.txt","Fabrizio del Dango","char-offset:6039","PERSON","","","","","","","","#narrativa|#personajes|#novela|#intertexto","Personaje protagonista de la novela ""La cartuja de Parma"" de Stendal","",""
"67176b26-f50e-41da-bfc7-93b6059eaf61","Domar a la divina garza - Sergio Pitol.txt","protagonistas","char-offset:6214","","","","","","","","","#creación literaria|#narrativa|#personajes","Creación literaria. Narración. Personajes.","",""
"0c10bae9-41fd-4ec7-aa81-d957708c4148","Domar a la divina garza - Sergio Pitol.txt","Córdoba","char-offset:6436","PLACE","http://sws.geonames.org/3530240","Córdoba","","18.8842","-96.92559","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"98263465-cc7d-43ad-acb1-0ffbef9165c4","Domar a la divina garza - Sergio Pitol.txt","Cuernavaca","char-offset:6445","PLACE","http://sws.geonames.org/3529947","Cuernavaca","","18.9261","-99.23075","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"1791bba9-9a89-40cf-b8ac-6d062c223e30","Domar a la divina garza - Sergio Pitol.txt","San Andrés Tuxtla","char-offset:6457","PLACE","http://sws.geonames.org/3514843","Vega de Alatorre","","20.02823","-96.64751","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"0858eb01-3ffa-43b6-9100-ea4a0bb6f663","Domar a la divina garza - Sergio Pitol.txt","Huatusco","char-offset:6476","PLACE","http://sws.geonames.org/3526993","Huatusco de Chicuellar","","19.14876","-96.9676","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"7b0cc33c-43e2-4dcf-9ca9-2c98d988dbff","Domar a la divina garza - Sergio Pitol.txt","Tepoztlán","char-offset:6486","PLACE","http://sws.geonames.org/3515811","Tepoztlán","","18.98622","-99.10051","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"d4e259c2-1f67-46db-b458-e0c2e64134e4","Domar a la divina garza - Sergio Pitol.txt","Cuautla","char-offset:6498","PLACE","http://sws.geonames.org/4012400","Cuautla","","20.20139","-104.4075","","VERIFIED","#narrativa|#personajes|#escenario","","",""
"5f2e167a-084c-4a5d-b926-0b5ce46b8726","Domar a la divina garza - Sergio Pitol.txt","Viejas criaturas neurasténicas","char-offset:7145","","","","","","","","","#creación literaria|#narrativa|#personajes","Creación literaria. Narrativa. Personajes","",""
"93f88f0e-3165-4d2a-af60-e0d7ffaccee7","Domar a la divina garza - Sergio Pitol.txt","protagonistas","char-offset:7277","","","","","","","","","#creación literaria|#narrativa|#personajes|#puesta en abismo","Creación literaria. Narración. Personajes.","",""
"f37cf0bb-c6de-4ef4-bb4f-bca335b05638","Domar a la divina garza - Sergio Pitol.txt","segunda categoría","char-offset:7367","","","","","","","","","#creación literaria|#narrativa|#personajes|#puesta en abismo","Creación literaria. Narrativa. Personajes","",""
"3ff4dfb9-e399-431e-a174-26dea6aa9dca","Domar a la divina garza - Sergio Pitol.txt","La tormenta","char-offset:8672","EVENT","","","","","","","","#pintura|#exilio|#EEUU|#escenario","La tormenta en el mar de Galilea es una obra del pintor holandés Rembrandt, pintada hacia 1633, que se exhibía en el Museo Isabella Stewart Gardner de Boston, Massachusetts, Estados Unidos.","",""
"5b3cb200-018c-4d15-9ca3-0a4df0c31126","Domar a la divina garza - Sergio Pitol.txt","Venus yacent","char-offset:8690","EVENT","","","","","","","","#pintura|#exilio|#Europa|#escenario","La Venus durmiente, también llamada Venus de Dresde, es una obra pintada con la técnica del óleo sobre lienzo, sumamente importante por la influencia que ejerció en la representación de la diosa Venus tendida, tema recurrente en el Renacimiento y Barroco (Tiziano, Rubens...).


Se trata de una de las últimas creaciones de Giorgione, realizada hacia 1510. Posee las siguientes dimensiones: 108,5 cm de altura por 175 cm de longitud.
Localización Gemäldegalerie Alte Meister, Dresde,  Alemania","",""
"5f48c7da-c305-4f4d-89eb-00c9ca146a9c","Domar a la divina garza - Sergio Pitol.txt","Bienal de Venecia la exposición Matisse,","char-offset:8797","EVENT","","","","","","","","#pintura|#exilio|#Europa|#escenario","La Bienal de Venecia (en italiano: La Biennale di Venezia) es una exposición cultural internacional que la Fundación Bienal organiza anualmente en Venecia, Italia.​ La bienal se organiza todos los años desde 1895, lo que la convierte en la más antigua de su tipo.


Henri Émile Benoît Matisse (Le Cateau-Cambrésis, 31 de diciembre de 1869-Niza, 3 de noviembre de 1954) fue un pintor francés conocido por su uso del color y por su empleo original y fluido del dibujo.","",""
"7a3bded3-e409-458b-b44c-a88d3b216117","Domar a la divina garza - Sergio Pitol.txt","Adrián Leverkühn","char-offset:9004","PERSON","","","","","","","","#narrativa|#creación literaria|#personajes|#intertexto","Personaje protagonista de la novela de Thomas Mann, ""Doktor Faustus"", que relata su historia, la del compositor alemán","",""
"63c9345a-b197-4e15-827e-d59ec5b4e997","Domar a la divina garza - Sergio Pitol.txt","Montiel","char-offset:9908","PERSON","","","","","","","","#narrativa|#creación literaria|#personajes","Nueva referencia a Carlos Monsivais, escritor, periodista y crítico literario mejicano, contemporáneo y amigo de Sergio Pitol|Carlos Montiel","",""
"07687991-4fb7-4fbb-81ca-a09ffa0e8d30","Domar a la divina garza - Sergio Pitol.txt","sesenta y cinco años","char-offset:10189","PERSON","","","","","","","","#creación literaria|#narrativa|#edad|#personajes|#novelista","Referencia al personaje novelista.","",""
"4ad41542-ba25-4abe-bd93-4e64404e2f71","Domar a la divina garza - Sergio Pitol.txt","esbozar algunas notas","char-offset:10681","","","","","","","","","#creación literaria|#narrativa|#novela|#novelista|#puesta en abismo","Puesta en abismo, el trabajo del novelista.","",""
