"source","relation","target","source_id","source_tags","target_id","target_tags"
"Carlos Montiel","#crítico literario","Montiel","c6d975a7-d91a-45ff-ad89-07ab572e2e51","#narrativa|#personajes|#critica literaria","e7561384-62c3-49a1-963d-2e6ae9554ad5","#narrativa|#creación literaria|#personajes"
"Pepe Brozas","#narrativa","José Rosas","dfc6a158-7026-4923-ab94-9497b1506571","#creación literaria|#narrativa|#personajes","4a07394c-ca3a-4849-96ad-583549cce7e3",""
"Sus héroes","#narrativa","personajes","354dc1a9-8c09-4ac5-bbee-bd8790f6e8a7","#narrativa|#creación literaria|#personajes|#puesta en abismo","069ca04e-0739-4020-a709-81e00baad24f","#narrativa|#creación literaria|#personajes|#puesta en abismo"
"libro","#texto","la cultura popular en la Edad Media y a principios del Renacimiento","56de0b23-a844-441f-b212-db570a7a4bc2","#creación literaria|#narrativa","16a48416-3638-4a18-85f4-d794bd4e06c2","#carnaval|#cultura popular|#intertexto"
"Dante de la Estrella","personaje","Dante C. de la Estrella","ac3852a4-6ffa-4fd2-85b7-cb55bff3fb4d","#creación literaria|#narrativa|#personajes","b76f6f95-4d1d-43ba-a758-873a0c77395e","#creación literaria|#narrativa|#personajes|#novela"
"un personaje como Pepe Brozas","intertexto","la obra","d904e376-2bd5-471e-8e1f-8c6ec277bb44","#creación literaria|#narrativa|#novela","d220add8-a383-4978-9a96-5b4e304adc0c","#creación literaria|#narrativa|#intertexto"
"la fiesta","carnaval","carnavalesco","b264d81c-2fd4-47d0-8208-e70b66f8847c","#creación literaria|#carnaval|#novela","af4a7419-7c74-4f1a-b19b-442c806fa30f","#carnaval|#cultura popular|#creación literaria|#intertexto"
"José Rosas","#narrativa","Montiel","4a07394c-ca3a-4849-96ad-583549cce7e3","","63c9345a-b197-4e15-827e-d59ec5b4e997","#narrativa|#creación literaria|#personajes"
"José Rosas","#admiración","Dante Alighieri","4a07394c-ca3a-4849-96ad-583549cce7e3","","eac42bed-7808-4101-8cde-23f0a4c081be","#creación literaria|#narrativa|#novelista"
"sesenta y cinco años","#edad","una edad","c3abc497-3a70-486a-aa17-cfbef82a6b1e","#creación literaria|#narrativa|#edad","a6a86433-5d27-4ca1-b18f-f21af4bfde2b","#narrativa|#creación literaria|#edad"
"a lo largo de los años","#edad","El fin","44c46f1d-f436-4e69-85d0-7a01a5c40dcd","#personajes|#edad|#novelista","a939b691-8660-4f65-9cf9-b132dc2d246d","#creación literaria|#edad|#personajes|#novelista"
"a lo largo de los años","#edad","sesenta y cinco años","44c46f1d-f436-4e69-85d0-7a01a5c40dcd","#personajes|#edad|#novelista","07687991-4fb7-4fbb-81ca-a09ffa0e8d30","#creación literaria|#narrativa|#edad|#personajes|#novelista"
"Matthias Glaubner o Glaubener.","#admiración","Calvino","2d76d3f0-1a40-4f1f-a1a1-4ebd2d83c85f","#creación literaria|#narrativa|#personajes","514665dd-cdad-47d8-bcb1-52b966266a47","#creación literaria|#narrativa|#novelista"
"personajes","#narrativa","protagonistas","069ca04e-0739-4020-a709-81e00baad24f","#narrativa|#creación literaria|#personajes|#puesta en abismo","67176b26-f50e-41da-bfc7-93b6059eaf61","#creación literaria|#narrativa|#personajes"
"la cultura popular en la Edad Media y a principios del Renacimiento","carnaval","carnavalesco","16a48416-3638-4a18-85f4-d794bd4e06c2","#carnaval|#cultura popular|#intertexto","af4a7419-7c74-4f1a-b19b-442c806fa30f","#carnaval|#cultura popular|#creación literaria|#intertexto"
"la cultura popular en la Edad Media y a principios del Renacimiento","carnaval","rabelesiana","16a48416-3638-4a18-85f4-d794bd4e06c2","#carnaval|#cultura popular|#intertexto","6d2caf9a-8ab0-4456-a14b-c9a5da09ac30","#intertexto|#carnaval|#humor"
"la obra","intertexto","Rosas con Dante","d220add8-a383-4978-9a96-5b4e304adc0c","#creación literaria|#narrativa|#intertexto","3dde463a-29cc-44ca-bfb5-76e797350506","#creación literaria|#narrativa|#personajes|#puesta en abismo"
"la obra","intertexto","Gogol","d220add8-a383-4978-9a96-5b4e304adc0c","#creación literaria|#narrativa|#intertexto","533d6497-aacc-454a-9ac7-68464f832dfa","#creación literaria|#narrativa|#carnaval|#intertexto"
"la obra","intertexto","Calvino","d220add8-a383-4978-9a96-5b4e304adc0c","#creación literaria|#narrativa|#intertexto","ac82f499-2323-4dea-8a80-71d33fc5534d","#creación literaria|#narrativa|#novelista"
"personajes","#narrativa","Sus héroes","75c1ace7-0973-4a25-b63b-87dab9ab9e4c","#narrativa|#creación literaria|#personajes","354dc1a9-8c09-4ac5-bbee-bd8790f6e8a7","#narrativa|#creación literaria|#personajes|#puesta en abismo"
