"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PQXSZVGU","thesis","2004","Silvestri, María Luciana","El laboratorio del humor: lectura de Domar a la divina garza de Sergio Pitol","","","","","https://www.bibliotecas.uncuyo.edu.ar/explorador3/Record/OLESID047691","","2004","2024-12-02 22:15:44","2024-12-02T22:15:44Z","","","","","","","","","","","","","Universidad Nacional de Cuyo","","Español","","","","","","","","","","","#Carnaval; #Humor; #narración; #novela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MBTKFN4W","book","1984","Pitol, Sergio","El desfile del amor","","","","","","","1984","2024-12-02 22:15:30","2024-12-02T22:15:30Z","","","183","","","","","","","","","","","","Español","","","","","","","","","","","#Humor; #Tríptico; #literatura mejicana; #novela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7TTBD9A","book","1988","Pitol, Sergio","Domar a la divina garza","","","","","","","1988","2024-12-02 22:15:14","2024-12-02T22:15:14Z","","","116","","","","","","","","","","","","Español","","","","","","","","","","","#Carnaval; #Humor; #Tríptico; #literatura mejicana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VURHVZ3M","book","1987","Bajtin, Mijail","La cultura popular en la Edad Media y en el Renacimiento","","","","","","","1987","2024-12-02 22:12:59","2024-12-02T22:12:59Z","","","","","","","","","","","","","","","","","","","","","","","","","","#Carnaval; #cultura popular; #literatura europea; #teoría","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QTMFHJ5","thesis","2021","García Martínez, Alejandro","La presencia de lo grotesco en Domar a la divina garza, de Sergio Pitol","","","","","https://colsan.repositorioinstitucional.mx/jspui/bitstream/1013/960/1/La%20presencia%20de%20lo%20grotesco%20en%20Damar.pdf","","2021","2024-12-02 22:12:50","2024-12-02T22:12:50Z","","","","","","","","","","","","","El colegio de San Luis","","Español","","","","","","","","","","","#Carnaval; #biografía; #literatura mejicana; #novela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KC6X3PH4","book","1991","Pitol, Sergio","La vida conyugal","","","","","","","1991","2024-12-02 22:12:41","2024-12-02T22:12:41Z","","","65","","","","","","","","","","","","Español","","","","","","","","","","","#Carnaval; #literatura mejicana; #novela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2H74BUI","book","1991","Dällenbach, Lucien","El relato especular","","","","","","","1991","2024-12-02 22:10:07","2024-12-02T22:10:07Z","","","","","","","","","","","","","","","Español","","","","","","","","","","","#narración; #teoría literaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7WTHU3G","journalArticle","2010","Curiel Martínez, Geishel","El viaje hacia Domar a la divina garza","","","1405-4167","","https://www.redalyc.org/pdf/384/38421211002.pdf","","2010","2024-12-02 22:09:32","2024-12-02T22:09:32Z","","","","","","","","","","","","","","","","","","","","","","","","","","#crítica literaria; #literatura mejicana; #novela","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4WPRAPT","webpage","2022","","Sergio Pitol. Biografía","","","","","https://www.cervantes.es/bibliotecas_documentacion_espanol/biografias/sofia_sergio_pitol.htm","","2022","2024-12-02 22:03:58","2024-12-02T22:03:58Z","","","","","","","","","","","","","","","Español","","","","","","","","","","","#biografía; #literatura mejicana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDG7VPI7","webpage","2021","Fundación para las letras mexicanas","Sergio Pitol","","","","","http://www.elem.mx/autor/datos/862","","2021-02-03","2024-12-02 22:02:06","2024-12-02T22:02:06Z","","","","","","","","","","","","","","","","","","","","","","","","","","#biografía; #literatura mejicana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
